"","MENTHLTH","HLTHPLN1","MEDCOST","EXERANY2","EMTSUPRT","LSATISFY","EDUCA","Year"
"23",22,0.860077426710063,0.398358003992743,0.574545633831534,"NA","NA",0.800293049298732,"2012"
"24",23,0.738751720975833,0.325994389082451,0.789841187547941,"NA","NA",0.800660735239055,"2012"
"25",24,0.880307511683007,0.519222803524509,0.724605648975346,"NA","NA",0.782642375275229,"2012"
"26",25,0.759231908190314,0.359459052531215,0.598132545963604,"NA","NA",0.786143368333914,"2012"
"27",26,0.769070398136373,0.491143793645179,0.724193404366355,"NA","NA",0.718086360483679,"2012"
"28",27,0.625166612299909,0.45596471641095,0.640950735329155,"NA","NA",0.771223158290597,"2012"
"29",28,0.680545679088228,0.408735547889723,0.558570313371033,"NA","NA",0.796522918918079,"2012"
"30",29,0.682010257970493,0.461625312547982,0.664492768902277,"NA","NA",0.75564559392647,"2012"
"31",30,0.725547119628283,0.386876570035689,0.573211771291186,"NA","NA",0.738465872102379,"2012"
"32",0,0.838640753010046,0.112044612805976,0.753617456083169,"NA","NA",0.861272463151158,"2011"
"33",1,0.830282991289458,0.166715801065149,0.821865153821159,"NA","NA",0.888252979631373,"2011"
"34",2,0.816407784664503,0.180560344873602,0.795777293894102,"NA","NA",0.880053744841672,"2011"
"35",3,0.800431345513967,0.210415148775931,0.767662460356582,"NA","NA",0.846031415872207,"2011"
"36",4,0.787805805229276,0.228877623528307,0.780651074846898,"NA","NA",0.857928411207132,"2011"
"37",5,0.798556487009534,0.229204952741855,0.779830021931874,"NA","NA",0.864083035522798,"2011"
"38",6,0.774699016927028,0.291670971476455,0.766192459349137,"NA","NA",0.796303553192699,"2011"
"39",7,0.768553694191805,0.273145333212614,0.760419181311503,"NA","NA",0.84249981193839,"2011"
"40",8,0.699444665214323,0.321902597835344,0.679785774993014,"NA","NA",0.736929590949823,"2011"
"41",9,0.759440625919264,0.324904367251013,0.833391619915007,"NA","NA",0.815344621219703,"2011"
"42",10,0.789627123482839,0.282917560118077,0.72777985677905,"NA","NA",0.831696033780872,"2011"
"43",11,0.806422301775208,0.327900898810845,0.74700598211031,"NA","NA",0.899720839147154,"2011"
"44",12,0.759633871004027,0.386795151544694,0.732507181381849,"NA","NA",0.781265708460552,"2011"
"45",13,0.647332510335347,0.328384535053927,0.751654462468977,"NA","NA",0.825978150830407,"2011"
"46",14,0.744398103018493,0.286847075852128,0.696326100871306,"NA","NA",0.788856007660802,"2011"
"47",15,0.747406299099567,0.337513212842767,0.67754610181521,"NA","NA",0.783356766483245,"2011"
"48",16,0.612194235886004,0.391206677072532,0.629382041812539,"NA","NA",0.8374011759256,"2011"
"49",17,0.458274633749724,0.412580960795499,0.768286053806195,"NA","NA",0.726475384717664,"2011"
"50",18,0.742463661910064,0.426575247571498,0.676577281309254,"NA","NA",0.621640183662491,"2011"
"51",19,0.617569809364025,0.337510105782547,0.57004066811214,"NA","NA",0.815216363775298,"2011"
"52",20,0.753970907167595,0.37256505630353,0.658571249264389,"NA","NA",0.785539542413868,"2011"
"53",21,0.765679002462897,0.331974876267545,0.623082538751133,"NA","NA",0.757141344064533,"2011"
"54",22,0.743875525318565,0.420106168417958,0.830229283087821,"NA","NA",0.647909956314197,"2011"
"55",23,0.528381839104967,0.480934836526939,0.525188913213303,"NA","NA",0.639181054254902,"2011"
